 state , Q4_1999 , Q4_2000 , Q4_2001 , Q4_2002 , Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 
 NC , 430 , 450 , 520 , 560 , 780 , 990 ," 1,200 "," 1,530 "," 1,790 "," 2,140 "," 2,480 "," 2,800 "," 3,050 "," 3,420 "," 3,750 "," 4,010 "," 4,280 "," 4,650 "
 ND ," 1,060 "," 1,170 "," 1,270 "," 1,360 "," 1,840 "," 2,020 "," 2,240 "," 2,620 "," 3,020 "," 3,260 "," 3,600 "," 3,870 "," 4,150 "," 4,670 "," 4,770 "," 4,870 "," 5,040 "," 4,910 "
 NE , 920 , 880 , 920 ," 1,030 "," 1,430 "," 1,270 "," 1,440 "," 1,650 "," 1,870 "," 3,090 "," 3,290 "," 3,750 "," 3,890 "," 4,200 "," 4,300 "," 4,510 "," 4,710 "," 4,850 "
 NH , 780 , 870 , 730 ," 1,170 "," 1,360 "," 2,010 "," 2,320 "," 2,680 "," 3,090 "," 3,460 "," 3,730 "," 3,980 "," 4,370 "," 4,630 "," 4,860 "," 5,000 "," 5,260 "," 5,580 "
 NJ , 580 , 620 , 740 , 780 ," 1,050 "," 1,570 "," 1,760 "," 2,210 "," 2,540 "," 2,950 "," 3,300 "," 3,680 "," 3,980 "," 4,330 "," 4,710 "," 4,970 "," 5,200 "," 5,530 "
 NM , 310 , 360 , 490 , 510 , 830 ," 1,290 "," 1,490 "," 1,760 "," 1,970 "," 2,190 "," 2,440 "," 2,720 "," 3,010 "," 3,360 "," 3,490 "," 3,550 "," 3,620 "," 3,760 "
 NV , 330 , 390 , 470 , 540 , 730 , 980 ," 1,110 "," 1,260 "," 1,530 "," 1,860 "," 2,080 "," 2,290 "," 2,460 "," 2,850 "," 2,960 "," 3,180 "," 3,430 "," 3,620 "
 NY , 830 , 880 , 950 ," 1,060 "," 1,420 "," 1,940 "," 2,090 "," 2,640 "," 2,960 "," 3,450 "," 3,820 "," 4,200 "," 4,440 "," 4,770 "," 5,060 "," 5,190 "," 5,330 "," 5,550 "
 OH , 450 , 510 , 710 , 750 ," 1,210 "," 1,570 "," 1,790 "," 2,210 "," 2,590 "," 3,060 "," 3,490 "," 3,940 "," 4,220 "," 4,640 "," 5,000 "," 5,320 "," 5,510 "," 5,780 "
 OK , 460 , 540 , 680 , 550 , 830 ," 1,270 "," 1,470 "," 1,750 "," 1,960 "," 2,400 "," 2,700 "," 2,940 "," 3,210 "," 3,580 "," 3,730 "," 3,840 "," 3,940 "," 4,100 "
 OR , 500 , 570 , 700 , 780 ," 1,090 "," 1,490 "," 1,700 "," 2,050 "," 2,340 "," 2,710 "," 3,090 "," 3,440 "," 3,720 "," 4,160 "," 4,460 "," 4,750 "," 4,980 "," 5,260 "
 PA , 770 , 740 ," 1,020 "," 1,120 "," 1,270 "," 1,780 "," 1,890 "," 2,410 "," 2,750 "," 3,200 "," 3,600 "," 3,950 "," 4,290 "," 4,600 "," 4,890 "," 5,140 "," 5,350 "," 5,660 "
 PR , 220 , 240 , 290 , 300 , 500 , 650 , 720 , 870 , 990 ," 1,070 "," 1,250 "," 1,420 "," 1,510 "," 1,770 "," 1,950 "," 2,100 "," 2,320 "," 2,620 "
 RI , 760 , 770 ," 1,000 "," 1,040 "," 1,380 "," 1,790 "," 1,830 "," 2,160 "," 2,310 "," 2,870 "," 3,200 "," 3,750 "," 3,600 "," 4,060 "," 4,410 "," 4,650 "," 4,780 "," 4,940 "
 SC , 250 , 320 , 410 , 400 , 710 , 960 ," 1,300 "," 1,800 "," 2,120 "," 2,430 "," 2,820 "," 3,210 "," 3,500 "," 4,020 "," 4,290 "," 4,620 "," 4,870 "," 5,240 "
 SD ," 1,140 "," 1,030 "," 1,130 "," 1,380 "," 1,770 "," 1,930 "," 2,160 "," 2,340 "," 2,810 "," 3,250 "," 3,450 "," 3,740 "," 3,950 "," 4,290 "," 4,250 "," 4,340 "," 4,710 "," 4,890 "
 TN , 390 , 510 , 610 , 630 , 800 ," 1,140 "," 1,300 "," 1,560 "," 1,810 "," 2,190 "," 2,460 "," 2,820 "," 3,090 "," 3,480 "," 3,770 "," 4,050 "," 4,190 "," 4,520 "
 TX , 480 , 540 , 630 , 650 , 910 ," 1,250 "," 1,470 "," 1,740 "," 1,970 "," 2,350 "," 2,680 "," 2,990 "," 3,240 "," 3,610 "," 3,740 "," 4,000 "," 4,180 "," 4,460 "
 UT , 550 , 590 , 630 , 630 , 780 ," 1,180 "," 1,340 "," 1,680 "," 1,860 "," 2,210 "," 2,500 "," 2,730 "," 3,030 "," 3,390 "," 3,470 "," 3,620 "," 3,870 "," 4,100 "
 VA , 580 , 670 , 810 , 870 ," 1,110 "," 1,580 "," 1,660 "," 2,030 "," 2,270 "," 2,690 "," 3,070 "," 3,410 "," 3,690 "," 4,030 "," 4,320 "," 4,680 "," 4,850 "," 5,230 "
 VT , 440 , 490 ," 1,190 "," 1,330 "," 1,990 "," 2,210 "," 2,230 "," 2,840 "," 3,130 "," 3,780 "," 3,850 "," 4,070 "," 4,070 "," 4,400 "," 4,530 "," 4,850 "," 5,130 "," 5,250 "
 WA , 530 , 630 , 690 , 690 , 980 ," 1,350 "," 1,500 "," 1,810 "," 2,060 "," 2,300 "," 2,540 "," 2,820 "," 3,030 "," 3,380 "," 3,540 "," 3,710 "," 3,860 "," 4,030 "
 WI , 450 , 580 , 860 , 890 ," 1,180 "," 1,400 "," 1,600 "," 1,900 "," 2,190 "," 2,530 "," 2,870 "," 3,240 "," 3,470 "," 3,860 "," 4,000 "," 4,230 "," 4,370 "," 4,580 "
 WV , 340 , 410 , 500 , 540 , 950 ," 1,190 "," 1,330 "," 1,710 "," 1,970 "," 2,320 "," 2,580 "," 2,840 "," 2,990 "," 3,290 "," 3,490 "," 3,780 "," 3,800 "," 3,920 "
 WY , 610 , 700 , 810 , 550 , 670 ," 1,220 "," 1,240 "," 1,570 "," 1,870 "," 2,090 "," 2,270 "," 2,480 "," 2,770 "," 3,090 "," 3,160 "," 3,290 "," 3,290 "," 3,300 "
 allUS , 530 , 580 , 720 , 750 ," 1,060 "," 1,440 "," 1,610 "," 1,970 "," 2,250 "," 2,670 "," 3,010 "," 3,370 "," 3,620 "," 4,000 "," 4,250 "," 4,490 "," 4,660 "," 4,920 "
