 state , Q4_1999 , Q4_2000 , Q4_2001 , Q4_2002 , Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 
 GA ," 2,320 "," 2,460 "," 2,650 "," 2,870 "," 2,910 "," 3,010 "," 3,110 "," 3,200 "," 3,510 "," 3,650 "," 3,320 "," 2,990 "," 2,860 "," 2,780 "," 2,610 "," 2,660 "," 2,750 "," 2,890 "
 HI ," 2,810 "," 2,920 "," 3,080 "," 3,340 "," 3,330 "," 3,460 "," 3,480 "," 3,650 "," 4,030 "," 4,190 "," 3,930 "," 3,650 "," 3,580 "," 3,490 "," 3,290 "," 3,360 "," 3,460 "," 3,650 "
 IA ," 1,770 "," 1,960 "," 2,130 "," 2,330 "," 2,400 "," 2,510 "," 2,540 "," 2,630 "," 2,840 "," 2,850 "," 2,630 "," 2,420 "," 2,360 "," 2,250 "," 2,150 "," 2,170 "," 2,220 "," 2,340 "
 ID ," 1,980 "," 2,260 "," 2,420 "," 2,760 "," 2,820 "," 2,940 "," 2,900 "," 2,900 "," 3,170 "," 3,360 "," 3,150 "," 2,900 "," 2,780 "," 2,610 "," 2,470 "," 2,500 "," 2,550 "," 2,630 "
 IL ," 2,360 "," 2,550 "," 2,700 "," 2,910 "," 2,940 "," 3,000 "," 3,030 "," 3,120 "," 3,420 "," 3,600 "," 3,360 "," 3,030 "," 2,990 "," 2,930 "," 2,770 "," 2,780 "," 2,830 "," 2,970 "
 IN ," 1,940 "," 2,120 "," 2,300 "," 2,520 "," 2,640 "," 2,790 "," 2,780 "," 2,860 "," 3,120 "," 3,200 "," 2,890 "," 2,620 "," 2,530 "," 2,380 "," 2,240 "," 2,270 "," 2,310 "," 2,370 "
 KS ," 2,010 "," 2,260 "," 2,380 "," 2,620 "," 2,640 "," 2,770 "," 2,820 "," 2,880 "," 3,080 "," 3,130 "," 2,860 "," 2,610 "," 2,550 "," 2,520 "," 2,390 "," 2,430 "," 2,500 "," 2,610 "
 KY ," 1,710 "," 1,810 "," 1,960 "," 2,150 "," 2,230 "," 2,340 "," 2,340 "," 2,500 "," 2,690 "," 2,760 "," 2,500 "," 2,350 "," 2,250 "," 2,150 "," 2,040 "," 2,080 "," 2,100 "," 2,180 "
 LA ," 1,800 "," 1,980 "," 2,110 "," 2,370 "," 2,390 "," 2,470 "," 2,370 "," 2,290 "," 2,530 "," 2,630 "," 2,420 "," 2,230 "," 2,190 "," 2,170 "," 2,050 "," 2,090 "," 2,180 "," 2,270 "
 MA ," 2,780 "," 2,850 "," 3,000 "," 3,240 "," 3,310 "," 3,460 "," 3,570 "," 3,680 "," 3,990 "," 4,110 "," 3,780 "," 3,430 "," 3,360 "," 3,320 "," 3,170 "," 3,180 "," 3,260 "," 3,340 "
 MD ," 3,070 "," 2,980 "," 3,150 "," 3,330 "," 3,280 "," 3,280 "," 3,210 "," 3,390 "," 3,760 "," 4,030 "," 3,760 "," 3,490 "," 3,420 "," 3,400 "," 3,240 "," 3,320 "," 3,430 "," 3,560 "
 ME ," 2,200 "," 2,350 "," 2,530 "," 2,720 "," 2,780 "," 2,860 "," 3,000 "," 3,110 "," 3,380 "," 3,420 "," 3,120 "," 2,820 "," 2,760 "," 2,690 "," 2,560 "," 2,570 "," 2,610 "," 2,670 "
