state,Q4_1999,Q4_2000,Q4_2001,Q4_2002,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016
NV," 26,950 "," 29,400 "," 30,530 "," 34,240 "," 40,110 "," 46,050 "," 54,040 "," 64,480 "," 73,730 "," 73,720 "," 65,340 "," 57,640 "," 53,370 "," 50,090 "," 45,270 "," 45,180 "," 46,260 "," 47,670 "
NY," 21,640 "," 23,090 "," 23,960 "," 26,900 "," 31,250 "," 35,260 "," 38,780 "," 43,380 "," 48,030 "," 49,530 "," 48,710 "," 47,720 "," 48,990 "," 48,900 "," 47,360 "," 47,220 "," 46,930 "," 47,760 "
OH," 19,800 "," 22,490 "," 23,330 "," 25,530 "," 29,560 "," 31,600 "," 33,080 "," 34,930 "," 36,430 "," 37,940 "," 36,620 "," 35,290 "," 36,280 "," 35,970 "," 34,760 "," 35,160 "," 35,740 "," 36,100 "
OK," 13,950 "," 15,290 "," 16,540 "," 18,180 "," 20,680 "," 23,040 "," 23,470 "," 25,230 "," 27,870 "," 29,560 "," 29,060 "," 28,940 "," 30,400 "," 31,210 "," 30,350 "," 31,090 "," 31,930 "," 32,520 "
OR," 24,580 "," 27,160 "," 27,760 "," 30,330 "," 34,910 "," 38,420 "," 40,950 "," 46,000 "," 51,390 "," 54,210 "," 52,370 "," 49,850 "," 50,580 "," 49,530 "," 48,740 "," 49,010 "," 49,550 "," 50,690 "
PA," 18,560 "," 19,580 "," 20,680 "," 22,910 "," 26,050 "," 28,510 "," 30,550 "," 33,130 "," 36,490 "," 38,560 "," 38,110 "," 37,470 "," 39,030 "," 39,370 "," 38,540 "," 39,110 "," 39,340 "," 40,320 "
PR," 10,570 "," 12,250 "," 13,680 "," 15,790 "," 17,910 "," 18,900 "," 21,000 "," 22,130 "," 22,560 "," 23,730 "," 23,400 "," 22,860 "," 21,860 "," 23,910 "," 23,440 "," 23,260 "," 21,480 "," 21,800 "
RI," 23,160 "," 24,930 "," 24,900 "," 27,260 "," 33,420 "," 38,080 "," 43,100 "," 47,120 "," 50,480 "," 51,930 "," 49,930 "," 48,380 "," 49,430 "," 48,330 "," 46,770 "," 45,710 "," 46,950 "," 47,390 "
SC," 18,770 "," 22,750 "," 22,970 "," 24,890 "," 28,270 "," 30,030 "," 32,030 "," 34,200 "," 38,060 "," 40,260 "," 39,020 "," 38,000 "," 39,310 "," 39,290 "," 38,060 "," 38,530 "," 38,870 "," 40,420 "
SD," 17,070 "," 18,210 "," 20,520 "," 23,550 "," 28,480 "," 30,550 "," 32,200 "," 34,850 "," 36,810 "," 36,980 "," 36,860 "," 35,900 "," 38,180 "," 38,820 "," 36,970 "," 37,330 "," 38,470 "," 39,470 "
TN," 19,500 "," 22,360 "," 22,550 "," 24,370 "," 27,160 "," 28,950 "," 30,720 "," 32,600 "," 36,230 "," 37,990 "," 36,900 "," 35,600 "," 36,480 "," 36,420 "," 35,600 "," 36,350 "," 37,020 "," 37,670 "
TX," 18,390 "," 20,090 "," 21,220 "," 23,040 "," 25,990 "," 27,590 "," 29,080 "," 30,900 "," 34,540 "," 36,720 "," 36,070 "," 35,040 "," 35,960 "," 36,410 "," 35,550 "," 36,770 "," 38,400 "," 39,740 "
UT," 26,490 "," 29,300 "," 28,800 "," 30,930 "," 36,240 "," 38,840 "," 41,640 "," 46,230 "," 53,070 "," 56,700 "," 54,230 "," 51,760 "," 52,380 "," 51,180 "," 50,330 "," 51,120 "," 52,150 "," 53,410 "
VA," 28,210 "," 30,580 "," 31,350 "," 34,030 "," 40,070 "," 45,950 "," 51,270 "," 58,360 "," 64,520 "," 66,970 "," 64,830 "," 62,250 "," 63,160 "," 62,620 "," 61,470 "," 62,230 "," 62,520 "," 62,970 "
VT," 20,530 "," 23,470 "," 23,840 "," 25,710 "," 28,970 "," 31,310 "," 33,110 "," 36,050 "," 39,310 "," 41,520 "," 40,910 "," 40,370 "," 43,360 "," 43,260 "," 43,000 "," 43,330 "," 43,520 "," 44,260 "
WA," 29,190 "," 33,850 "," 33,610 "," 36,150 "," 42,000 "," 45,890 "," 49,340 "," 54,720 "," 62,130 "," 65,860 "," 64,030 "," 61,200 "," 61,270 "," 60,320 "," 58,050 "," 58,250 "," 58,370 "," 59,620 "
WI," 19,580 "," 22,540 "," 21,890 "," 23,590 "," 27,890 "," 29,420 "," 32,990 "," 35,510 "," 38,130 "," 39,330 "," 38,420 "," 36,890 "," 38,070 "," 37,180 "," 36,930 "," 37,100 "," 37,680 "," 38,250 "
WV," 11,860 "," 15,140 "," 14,710 "," 15,670 "," 17,500 "," 18,890 "," 19,770 "," 21,470 "," 23,470 "," 24,750 "," 23,920 "," 24,160 "," 25,740 "," 26,490 "," 26,040 "," 26,770 "," 27,520 "," 28,040 "
WY," 17,620 "," 18,970 "," 20,470 "," 22,310 "," 25,930 "," 28,870 "," 31,710 "," 34,630 "," 39,740 "," 42,580 "," 42,320 "," 41,180 "," 41,670 "," 41,940 "," 41,220 "," 42,150 "," 44,510 "," 44,380 "
allUS," 22,860 "," 24,990 "," 25,830 "," 28,410 "," 33,430 "," 37,290 "," 40,650 "," 45,410 "," 50,170 "," 52,010 "," 49,820 "," 47,410 "," 47,790 "," 47,020 "," 45,310 "," 45,710 "," 46,000 "," 46,950 "
